Index,Start_Time,End_Time,Length,MOSI,MISO,Frequency,Error
796,20.380222s,20.380242s,5,00 D4 00 18 40,00 00 00 01 00,1.5780 MHz,-
797,20.380247s,20.380268s,5,00 D4 00 00 20,00 00 00 01 00,1.5641 MHz,-
798,20.380274s,20.380294s,5,80 D4 00 00 00,00 00 00 01 81,1.5702 MHz,-
799,20.380300s,20.380320s,5,00 D4 00 00 02,00 00 00 01 00,1.5889 MHz,-
800,20.380326s,20.380346s,5,80 D4 00 00 00,00 00 00 01 A1,1.5749 MHz,-
801,20.380352s,20.380372s,5,80 D4 00 18 00,00 00 00 01 04,1.6081 MHz,-
802,20.380378s,20.380398s,5,00 D4 00 18 40,00 00 00 01 00,1.6377 MHz,-
803,20.385403s,20.385424s,5,80 F4 00 18 00,00 00 00 01 44,1.6049 MHz,-
804,20.385430s,20.385465s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5687 MHz,-
805,20.385471s,20.385597s,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 06 00 00 01 92 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5795 MHz,-
806,20.390603s,20.390624s,5,80 D4 00 18 00,00 00 00 01 84,1.6113 MHz,-
807,20.395629s,20.395650s,5,80 D4 00 18 00,00 00 00 01 84,1.5733 MHz,-
808,20.395656s,20.395676s,5,00 F4 00 18 20,00 00 00 01 00,1.6000 MHz,-
809,20.400682s,20.400702s,5,C0 D4 00 18 00,00 00 00 01 94,1.6000 MHz,-
810,20.400708s,20.400743s,8,C3 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04,1.6017 MHz,-
811,20.400749s,20.400815s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00,1.5764 MHz,-
812,20.405820s,20.405841s,5,80 D4 00 18 00,00 00 00 01 94,1.6049 MHz,-
813,20.405847s,20.405882s,8,83 D6 00 1C 00 00 00 00,00 00 00 01 94 11 00 04,1.5969 MHz,-
814,20.405888s,20.405989s,21,90 D4 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18,1.5921 MHz,-
815,20.405994s,20.406015s,5,00 D4 00 18 60,00 00 00 01 00,1.5969 MHz,-
816,20.406020s,20.406041s,5,00 D4 00 00 20,00 00 00 01 00,1.5626 MHz,-
817,20.406047s,20.406067s,5,80 D6 00 00 00,00 00 00 01 81,1.5595 MHz,-
818,20.406073s,20.406093s,5,00 F4 00 00 02,00 00 00 01 00,1.5641 MHz,-
819,20.406098s,20.406118s,5,80 D4 00 00 00,00 00 00 01 A1,1.5826 MHz,-
820,20.406124s,20.406144s,5,80 D6 00 1C 00,00 00 00 01 04,1.5969 MHz,-
821,20.406150s,20.406170s,5,00 D4 00 18 40,00 00 00 01 00,1.6146 MHz,-
822,20.411176s,20.411196s,5,80 DC 00 18 00,00 00 00 01 44,1.6360 MHz,-
823,20.411201s,20.411236s,8,C3 F6 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5969 MHz,-
824,20.411242s,20.411579s,68,3F F4 00 24 80 02 00 00 00 41 00 00 01 C2 00 00 00 07 00 00 00 09 40 00 00 09 00 00 00 00 00 00 00 00 01 00 0F BA F8 DA 3C CA CF 52 7D 0E 5F 01 A8 35 1F 04 22 A4 1D 97 A1 AD FD 50 82 2A A3 63 B9 D1 A6 EA,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5671 MHz,-
825,20.411585s,20.411605s,5,00 D4 00 24 7C,00 00 00 01 00,1.6146 MHz,-
826,20.416611s,20.416631s,5,80 D4 00 18 00,00 00 00 01 84,1.5889 MHz,-
827,20.421636s,20.421657s,5,80 D6 00 1C 00,00 00 00 01 84,1.5595 MHz,-
828,20.421662s,20.421682s,5,00 D4 00 18 30,00 00 00 01 00,1.6017 MHz,-
829,20.426688s,20.426708s,5,80 D4 00 18 00,00 00 00 01 94,1.5780 MHz,-
830,20.426714s,20.426749s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 13 00 04,1.5749 MHz,-
831,20.426755s,20.426820s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00,1.5795 MHz,-
832,20.431826s,20.431846s,5,80 DE 00 1C 00,00 00 00 01 94,1.5565 MHz,-
833,20.431852s,20.431887s,8,C3 D6 00 18 00 00 00 00,00 00 00 01 94 09 00 04,1.5764 MHz,-
834,20.431893s,20.431953s,13,88 D4 00 24 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 00 00 01 00 00,1.6001 MHz,-
835,20.431959s,20.431979s,5,00 F4 00 18 40,00 00 00 01 00,1.5842 MHz,-
836,20.431985s,20.432005s,5,00 D4 00 00 20,00 00 00 01 00,1.6033 MHz,-
837,20.432015s,20.432035s,5,80 D4 00 00 00,00 00 00 01 81,1.5874 MHz,-
838,20.432041s,20.432061s,5,00 D4 00 00 02,00 00 00 01 00,1.5905 MHz,-
839,20.432067s,20.432087s,5,80 DC 00 00 00,00 00 00 01 A1,1.5953 MHz,-
840,20.432093s,20.432113s,5,80 D4 00 18 00,00 00 00 01 04,1.5671 MHz,-
841,20.432119s,20.432139s,5,00 D6 00 18 40,00 00 00 01 00,1.5826 MHz,-
842,20.437145s,20.437165s,5,C0 D4 00 18 00,00 00 00 01 44,1.6130 MHz,-
843,20.437171s,20.437206s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.6000 MHz,-
844,20.437212s,20.437338s,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.6033 MHz,-
845,20.442344s,20.442364s,5,80 D4 00 18 00,00 00 00 01 84,1.5921 MHz,-
846,20.447370s,20.447390s,5,80 D4 00 18 00,00 00 00 01 84,1.5953 MHz,-
847,20.447396s,20.447416s,5,00 D4 00 18 20,00 00 00 01 00,1.5953 MHz,-
848,20.452422s,20.452442s,5,80 D4 00 18 00,00 00 00 01 94,1.5687 MHz,-
849,20.452448s,20.452483s,8,C3 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04,1.5985 MHz,-
850,20.452489s,20.452555s,14,8D F4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00,1.5905 MHz,-
851,20.457561s,20.457581s,5,80 D4 00 18 00,00 00 00 01 94,1.5489 MHz,-
852,20.457587s,20.457622s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 15 00 04,1.5969 MHz,-
853,20.457628s,20.457749s,25,94 D4 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF,1.5656 MHz,-
854,20.457755s,20.457775s,5,00 D4 00 18 40,00 00 00 01 00,1.5811 MHz,-
855,20.457781s,20.457801s,5,00 D4 00 00 20,00 00 00 01 00,1.5858 MHz,-
856,20.457807s,20.457828s,5,80 D4 00 00 00,00 00 00 01 81,1.5565 MHz,-
857,20.457833s,20.457854s,5,00 D4 00 00 02,00 00 00 01 00,1.5826 MHz,-
858,20.457859s,20.457880s,5,80 D4 00 00 00,00 00 00 01 A1,1.5905 MHz,-
859,20.457885s,20.457906s,5,80 D4 00 18 00,00 00 00 01 04,1.5430 MHz,-
860,20.457911s,20.457931s,5,00 F4 00 18 40,00 00 00 01 00,1.6065 MHz,-
861,20.462937s,20.462958s,5,C0 D4 00 18 00,00 00 00 01 44,1.5858 MHz,-
862,20.462963s,20.462999s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.6001 MHz,-
863,20.463004s,20.463130s,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7B 00 00 00 06 00 00 01 1B 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5889 MHz,-
864,20.468136s,20.468156s,5,80 D4 00 18 00,00 00 00 01 84,1.5921 MHz,-
865,20.473162s,20.473183s,5,80 D4 00 18 00,00 00 00 01 84,1.6049 MHz,-
866,20.473188s,20.473209s,5,00 D4 00 18 20,00 00 00 01 00,1.5937 MHz,-
867,20.478214s,20.478234s,5,80 D4 00 18 00,00 00 00 01 94,1.6049 MHz,-
868,20.478240s,20.478276s,8,C3 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04,1.5795 MHz,-
869,20.478281s,20.478347s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00,1.5459 MHz,-
870,20.483353s,20.483373s,5,80 D4 00 18 00,00 00 00 01 94,1.6065 MHz,-
871,20.483379s,20.483414s,8,83 FC 00 18 00 00 00 00,00 00 00 01 94 11 00 04,1.5764 MHz,-
872,20.483420s,20.483521s,21,98 D4 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18,1.5718 MHz,-
873,20.483526s,20.483547s,5,00 D4 00 18 40,00 00 00 01 00,1.5858 MHz,-
874,20.483552s,20.483573s,5,00 D4 00 00 20,00 00 00 01 00,1.6081 MHz,-
875,20.483579s,20.483599s,5,80 D4 00 00 00,00 00 00 01 81,1.6162 MHz,-
876,20.483604s,20.483625s,5,00 D4 00 00 02,00 00 00 01 00,1.5921 MHz,-
877,20.483630s,20.483650s,5,80 D4 00 00 00,00 00 00 01 A1,1.5921 MHz,-
878,20.483656s,20.483676s,5,80 D4 00 18 00,00 00 00 01 04,1.5687 MHz,-
879,20.483682s,20.483702s,5,00 D4 00 18 40,00 00 00 01 00,1.5625 MHz,-
880,20.488708s,20.488728s,5,80 D4 00 18 00,00 00 00 01 44,1.5969 MHz,-
881,20.488734s,20.488769s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5718 MHz,-
882,20.488775s,20.489056s,57,34 D4 00 24 80 02 00 00 00 35 00 00 01 82 00 00 00 07 00 00 00 09 40 00 00 09 00 00 00 00 00 00 00 00 01 00 04 73 44 24 C9 FE 8F C7 17 16 C4 20 96 F4 B7 4C 88 73 3B 17 5E,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.6097 MHz,-
883,20.494062s,20.494082s,5,80 F4 00 18 00,00 00 00 01 84,1.6277 MHz,-
884,20.499088s,20.499108s,5,80 D4 00 18 00,00 00 00 01 84,1.6000 MHz,-
885,20.499114s,20.499134s,5,00 D4 00 18 20,00 00 00 01 00,1.5519 MHz,-
886,20.504140s,20.504160s,5,80 FC 00 18 00,00 00 00 01 94,1.5937 MHz,-
887,20.504166s,20.504201s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 13 00 04,1.5889 MHz,-
888,20.504207s,20.504272s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00,1.6162 MHz,-
889,20.509278s,20.509298s,5,80 D4 00 18 00,00 00 00 01 94,1.6244 MHz,-
890,20.509304s,20.509339s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 09 00 04,1.5889 MHz,-
891,20.509345s,20.509405s,13,88 D4 00 24 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 00 00 01 00 00,1.6146 MHz,-
892,20.509411s,20.509431s,5,00 D4 00 18 40,00 00 00 01 00,1.5749 MHz,-
893,20.509437s,20.509457s,5,00 DC 00 00 20,00 00 00 01 00,1.6033 MHz,-
894,20.509463s,20.509483s,5,80 D4 00 00 00,00 00 00 01 81,1.5858 MHz,-
895,20.509488s,20.509509s,5,00 D4 00 00 02,00 00 00 01 00,1.5764 MHz,-
896,20.509514s,20.509535s,5,80 D4 00 00 00,00 00 00 01 A1,1.5764 MHz,-
897,20.509540s,20.509561s,5,80 D4 00 18 00,00 00 00 01 04,1.5889 MHz,-
898,20.509567s,20.509587s,5,00 D4 00 18 40,00 00 00 01 00,1.6130 MHz,-
899,20.514593s,20.514613s,5,80 D4 00 18 00,00 00 00 01 44,1.5415 MHz,-
900,20.514619s,20.514654s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5969 MHz,-
901,20.514660s,20.514786s,26,15 DC 00 24 80 01 00 00 00 1E 00 00 01 7A 00 00 00 05 80 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5921 MHz,-
902,20.519792s,20.519812s,5,80 D4 00 18 00,00 00 00 01 84,1.5430 MHz,-
903,20.524818s,20.524838s,5,C0 D4 00 18 00,00 00 00 01 84,1.6033 MHz,-
904,20.524844s,20.524864s,5,00 D4 00 18 20,00 00 00 01 00,1.6033 MHz,-
905,20.529870s,20.529891s,5,80 D4 00 18 00,00 00 00 01 94,1.5474 MHz,-
906,20.529896s,20.529932s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04,1.5921 MHz,-
907,20.529937s,20.530003s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00,1.5874 MHz,-
908,20.535009s,20.535029s,5,80 D4 00 18 00,00 00 00 01 94,1.6033 MHz,-
909,20.535035s,20.535070s,8,83 F4 00 18 00 00 00 00,00 00 00 01 94 15 00 04,1.5889 MHz,-
910,20.535076s,20.535197s,25,9C D4 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF,1.6001 MHz,-
911,20.535203s,20.535223s,5,00 D6 00 18 40,00 00 00 01 00,1.5953 MHz,-
912,20.535229s,20.535249s,5,00 DC 00 00 20,00 00 00 01 00,1.5874 MHz,-
913,20.535255s,20.535275s,5,80 D4 00 00 00,00 00 00 01 81,1.5733 MHz,-
914,20.535281s,20.535301s,5,00 D4 00 00 02,00 00 00 01 00,1.6081 MHz,-
915,20.535307s,20.535327s,5,80 D4 00 00 00,00 00 00 01 A1,1.5519 MHz,-
916,20.535333s,20.535353s,5,80 F4 00 1C 00,00 00 00 01 04,1.5626 MHz,-
917,20.535359s,20.535379s,5,00 D4 00 18 40,00 00 00 01 00,1.6081 MHz,-
918,20.540385s,20.540405s,5,80 D4 00 18 00,00 00 00 01 44,1.6162 MHz,-
919,20.540410s,20.540446s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5641 MHz,-
920,20.540451s,20.540578s,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 06 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5985 MHz,-
921,20.545583s,20.545604s,5,80 D6 00 18 00,00 00 00 01 84,1.5400 MHz,-
922,20.550609s,20.550630s,5,80 D4 00 18 00,00 00 00 01 84,1.5445 MHz,-
923,20.550635s,20.550656s,5,00 D4 00 18 20,00 00 00 01 00,1.5905 MHz,-
924,20.555661s,20.555682s,5,80 D4 00 18 00,00 00 00 01 94,1.5687 MHz,-
925,20.555688s,20.555723s,8,C3 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04,1.5795 MHz,-
926,20.555729s,20.555794s,14,89 D4 00 26 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00,1.5842 MHz,-
927,20.560800s,20.560821s,5,80 D4 00 18 00,00 00 00 01 94,1.5702 MHz,-
928,20.560826s,20.560862s,8,C3 D4 00 18 00 00 00 00,00 00 00 01 94 11 00 04,1.5953 MHz,-
929,20.560867s,20.560969s,21,98 F4 00 34 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18,1.5858 MHz,-
930,20.560974s,20.560994s,5,00 D4 00 1C 40,00 00 00 01 00,1.5905 MHz,-
931,20.561000s,20.561020s,5,00 DC 00 00 20,00 00 00 01 00,1.5656 MHz,-
932,20.561026s,20.561047s,5,80 D4 00 00 00,00 00 00 01 81,1.6017 MHz,-
933,20.561052s,20.561072s,5,00 D4 00 00 02,00 00 00 01 00,1.5921 MHz,-
934,20.561078s,20.561098s,5,C0 D4 00 00 00,00 00 00 01 A1,1.6017 MHz,-
935,20.561104s,20.561124s,5,80 DC 00 18 00,00 00 00 01 04,1.6146 MHz,-
936,20.561130s,20.561150s,5,00 D4 00 18 40,00 00 00 01 00,1.5921 MHz,-
937,20.566156s,20.566176s,5,80 D4 00 18 00,00 00 00 01 44,1.5921 MHz,-
938,20.566181s,20.566217s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.6000 MHz,-
939,20.566222s,20.566560s,68,3F D4 00 34 80 02 00 00 00 41 00 00 01 82 00 00 00 07 00 00 00 09 40 00 00 09 00 00 00 00 00 00 00 00 01 00 0B 9F 75 B6 82 3B FF 6B F1 02 4A 4E 20 36 71 9C DD 54 8D 3E BC 2B F1 DE 8E 7E F4 D0 ED 01 F9 4B,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5489 MHz,-
940,20.566566s,20.566586s,5,00 D4 00 24 F9,00 00 00 01 00,1.5656 MHz,-
941,20.571591s,20.571612s,5,80 D4 00 1C 00,00 00 00 01 84,1.6017 MHz,-
942,20.576617s,20.576637s,5,80 D4 00 18 00,00 00 00 01 84,1.6033 MHz,-
943,20.576643s,20.576663s,5,00 D4 00 18 20,00 00 00 01 00,1.6065 MHz,-
944,20.581669s,20.581689s,5,80 D6 00 18 00,00 00 00 01 94,1.5795 MHz,-
945,20.581695s,20.581730s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 13 00 04,1.6113 MHz,-
946,20.581735s,20.581801s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00,1.5641 MHz,-
947,20.586807s,20.586827s,5,80 D4 00 18 00,00 00 00 01 94,1.5702 MHz,-
948,20.586833s,20.586868s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 09 00 04,1.5937 MHz,-
949,20.586873s,20.586934s,13,88 D4 00 24 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 00 00 01 00 00,1.6049 MHz,-
950,20.586940s,20.586960s,5,00 D4 00 18 40,00 00 00 01 00,1.5985 MHz,-
951,20.586965s,20.586986s,5,00 D4 00 00 20,00 00 00 01 00,1.6000 MHz,-
952,20.587000s,20.587021s,5,80 D4 00 00 00,00 00 00 01 81,1.5764 MHz,-
953,20.587026s,20.587046s,5,00 D4 00 00 02,00 00 00 01 00,1.6017 MHz,-
954,20.587052s,20.587072s,5,80 D4 00 00 00,00 00 00 01 A1,1.5905 MHz,-
955,20.587078s,20.587098s,5,80 D4 00 18 00,00 00 00 01 04,1.6097 MHz,-
956,20.587104s,20.587124s,5,00 D4 00 18 40,00 00 00 01 00,1.5842 MHz,-
957,20.592130s,20.592150s,5,80 D4 00 18 00,00 00 00 01 44,1.5953 MHz,-
958,20.592156s,20.592192s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5811 MHz,-
959,20.592197s,20.592324s,26,1D D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5969 MHz,-
960,20.597329s,20.597350s,5,80 D4 00 18 00,00 00 00 01 84,1.5595 MHz,-
961,20.602356s,20.602376s,5,80 DC 00 18 00,00 00 00 01 84,1.5656 MHz,-
962,20.602382s,20.602402s,5,00 D4 00 18 20,00 00 00 01 00,1.5874 MHz,-
963,20.607408s,20.607428s,5,80 D4 00 18 00,00 00 00 01 94,1.6146 MHz,-
964,20.607434s,20.607469s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04,1.5985 MHz,-
965,20.607475s,20.607541s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00,1.5795 MHz,-
966,20.612547s,20.612567s,5,80 D4 00 18 00,00 00 00 01 94,1.6195 MHz,-
967,20.612573s,20.612608s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 15 00 04,1.5826 MHz,-
968,20.612614s,20.612735s,25,D4 D4 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF,1.5565 MHz,-
969,20.612740s,20.612761s,5,00 D4 00 18 40,00 00 00 01 00,1.5826 MHz,-
970,20.612766s,20.612786s,5,00 D4 00 00 20,00 00 00 01 00,1.5610 MHz,-
971,20.612793s,20.612813s,5,80 D4 00 00 00,00 00 00 01 81,1.5811 MHz,-
972,20.612819s,20.612839s,5,00 D4 00 00 02,00 00 00 01 00,1.5858 MHz,-
973,20.612844s,20.612865s,5,80 DC 00 00 00,00 00 00 01 A1,1.5921 MHz,-
974,20.612870s,20.612891s,5,80 F4 00 18 00,00 00 00 01 04,1.5550 MHz,-
975,20.612897s,20.612917s,5,00 F4 00 18 40,00 00 00 01 00,1.6000 MHz,-
976,20.617923s,20.617943s,5,80 D4 00 18 00,00 00 00 01 44,1.6049 MHz,-
977,20.617949s,20.617984s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5953 MHz,-
978,20.617990s,20.618117s,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 06 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5780 MHz,-
979,20.623122s,20.623143s,5,80 D4 00 18 00,00 00 00 01 84,1.6244 MHz,-
980,20.628148s,20.628169s,5,80 D4 00 18 00,00 00 00 01 84,1.5749 MHz,-
981,20.628174s,20.628194s,5,00 D4 00 18 20,00 00 00 01 00,1.5953 MHz,-
982,20.633200s,20.633220s,5,80 FE 00 18 00,00 00 00 01 94,1.5985 MHz,-
983,20.633226s,20.633261s,8,83 DC 00 18 00 00 00 00,00 00 00 01 94 1B 00 04,1.5733 MHz,-
984,20.633267s,20.633333s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00,1.5826 MHz,-
985,20.638338s,20.638359s,5,80 D4 00 18 00,00 00 00 01 94,1.5580 MHz,-
986,20.638364s,20.638400s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 11 00 04,1.5641 MHz,-
987,20.638405s,20.638507s,21,90 D4 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18,1.5921 MHz,-
988,20.638512s,20.638532s,5,00 D4 00 18 40,00 00 00 01 00,1.5905 MHz,-
989,20.638538s,20.638558s,5,00 D4 00 00 20,00 00 00 01 00,1.5858 MHz,-
990,20.638564s,20.638584s,5,80 D4 00 00 00,00 00 00 01 81,1.6130 MHz,-
991,20.638590s,20.638610s,5,00 D4 00 00 02,00 00 00 01 00,1.5921 MHz,-
992,20.638616s,20.638636s,5,80 D4 00 00 00,00 00 00 01 A1,1.5921 MHz,-
993,20.638642s,20.638662s,5,80 D4 00 18 00,00 00 00 01 04,1.5795 MHz,-
994,20.638667s,20.638688s,5,00 D4 00 18 40,00 00 00 01 00,1.6065 MHz,-
995,20.643693s,20.643713s,5,80 F6 00 18 00,00 00 00 01 44,1.5985 MHz,-
996,20.643719s,20.643754s,8,83 F4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5764 MHz,-
997,20.643760s,20.644043s,57,34 D4 00 34 80 02 00 00 00 3D 00 00 01 C2 00 00 00 07 00 00 00 09 40 00 00 09 00 00 00 00 00 00 00 00 01 00 04 88 0E 17 67 79 1F 8F 60 BB 7F CE D5 62 8D 6A F3 AC CA CA 69,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.6162 MHz,-
998,20.649048s,20.649069s,5,80 D4 00 18 00,00 00 00 01 84,1.6081 MHz,-
999,20.654074s,20.654094s,5,C0 D4 00 18 00,00 00 00 01 84,1.5889 MHz,-
1000,20.654100s,20.654120s,5,00 D6 00 18 20,00 00 00 01 00,1.5656 MHz,-
1001,20.659126s,20.659146s,5,80 D4 00 18 00,00 00 00 01 94,1.5811 MHz,-
1002,20.659151s,20.659187s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 13 00 04,1.6017 MHz,-
1003,20.659192s,20.659258s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00,1.5795 MHz,-
1004,20.664264s,20.664284s,5,80 D4 00 1C 00,00 00 00 01 94,1.5969 MHz,-
1005,20.664289s,20.664325s,8,83 F4 00 18 00 00 00 00,00 00 00 01 94 09 00 04,1.5626 MHz,-
1006,20.664330s,20.664391s,13,C8 D4 00 24 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 00 00 01 00 00,1.5969 MHz,-
1007,20.664396s,20.664416s,5,00 D4 00 18 40,00 00 00 01 00,1.6065 MHz,-
1008,20.664422s,20.664442s,5,00 D4 00 00 20,00 00 00 01 00,1.6113 MHz,-
1009,20.664448s,20.664469s,5,80 D4 00 00 00,00 00 00 01 81,1.5874 MHz,-
1010,20.664474s,20.664495s,5,00 F4 00 00 02,00 00 00 01 00,1.5749 MHz,-
1011,20.664500s,20.664520s,5,80 D4 00 00 00,00 00 00 01 A1,1.5826 MHz,-
1012,20.664526s,20.664547s,5,80 D4 00 18 00,00 00 00 01 04,1.6081 MHz,-
1013,20.664552s,20.664572s,5,00 D4 00 18 40,00 00 00 01 00,1.5626 MHz,-
1014,20.669578s,20.669599s,5,80 D4 00 18 00,00 00 00 01 44,1.5550 MHz,-
1015,20.669604s,20.669640s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5702 MHz,-
1016,20.669646s,20.669772s,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5905 MHz,-
1017,20.674778s,20.674798s,5,80 D4 00 18 00,00 00 00 01 84,1.5687 MHz,-
1018,20.679804s,20.679824s,5,80 D4 00 18 00,00 00 00 01 84,1.6000 MHz,-
1019,20.679830s,20.679850s,5,00 D4 00 18 20,00 00 00 01 00,1.5889 MHz,-
